ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011967994,2024-02-05,r1,3121174000.0,103.73,3.2,600,103.31,102.95,3224485.0,2037-06-12,ELECTRIC B35,103.27,1196799,Bonds,ELEC.B35,169.0,4744.48,4596258.0,True,,
IL0060002107,2024-02-05,r1,2582631396.0,121.95,3.85,600,121.83,121.71,3146420.0,2029-04-12,ELECTRIC CO B27,121.79,6000210,Bonds,ELEC.B27,217.0,3988.24,3273052.0,True,,
IL0060002362,2024-02-05,r1,2955604235.0,119.9,4.5,600,119.82,119.66,3541405.0,2026-03-01,ELECTRIC CO B29,119.89,6000236,Bonds,ELEC.B29,207.0,5624.55,4694490.0,True,,
IL0060002776,2024-02-05,r1,546578000.0,100.78,2.55,600,100.74,100.74,550623.0,2024-03-20,ELECTRIC CO B30,100.72,6000277,Bonds,ELEC.B30,15.0,84.65,84029.0,True,,
IL0060002859,2024-02-05,r1,3889148000.0,111.15,2.39,600,111.0,110.92,4316954.0,2031-09-21,ELECTRIC CO B31,110.94,6000285,Bonds,ELEC.B31,265.0,4959.86,4467181.0,True,,
IL0060003840,2024-02-05,r1,1201741000.0,107.53,1.0,600,107.38,107.09,1290429.0,2027-07-22,ELECTRIC CO B32,107.27,6000384,Bonds,ELEC.B32,186.0,2458.38,2289889.0,True,,
IL0060003923,2024-02-05,r1,4291869000.0,90.76,1.25,600,90.43,90.21,3881137.0,2036-05-30,ELECTRIC CO B33,90.32,6000392,Bonds,ELEC.B33,196.0,2384.82,2638477.0,True,,
IL0011899502,2024-02-05,r1,187232000.0,101.83,2.49,504,101.78,101.72,190565.0,2029-07-01,ELLA CON B1,101.78,1189950,Bonds,ELAC.B1,88.0,932.61,916016.0,True,,
IL0011623043,2024-02-05,r1,660626210.0,106.84,6.2156,1697,106.73,106.19,705086.0,2026-04-15,ELLA DEPOSIT B4,106.5,1162304,Bonds,ELDP.B4,50.0,1478.97,1387362.0,True,,
IL0011625774,2024-02-05,r1,1033040491.0,102.2,0.05,1697,102.15,101.55,1055251.0,2031-02-10,ELLA DEPOSIT B5,102.34,1162577,Bonds,ELDP.B5,15.0,170.08,166601.0,True,,
IL0011893984,2024-02-05,r1,2675326000.0,105.9,,1697,105.9,105.9,2833170.0,2030-12-31,ELLA DEPOSIT B6,105.9,1189398,Bonds,ELDP.B6,9.0,40.07,37834.0,True,,
